City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,treinta y tres,-33.2333,-54.3833,29.67,42,100,6.85,UY,1674858396
339,bindura,-17.3019,31.3306,17.88,89,71,0.38,ZW,1674858776
340,bambanglipuro,-7.95,110.2833,24.47,86,100,1.18,ID,1674858777
341,chimbote,-9.0853,-78.5783,23.03,73,68,3.98,PE,1674858778
342,hasaki,35.7333,140.8333,-2.66,53,48,5.03,JP,1674858778
343,amiens,49.9,2.3,3.55,78,100,3.7,FR,1674858779
344,necochea,-38.5473,-58.7368,19.3,72,37,6.62,AR,1674858780
345,komsomolskoye,55.2567,47.5461,-11.6,97,48,3.54,RU,1674858780
346,okha,53.5739,142.9478,-21.05,96,100,9.79,RU,1674858781
347,soe,-9.8607,124.284,21.12,86,100,0.92,ID,1674858782
348,nemuro,43.3236,145.575,-4.36,66,99,2.56,JP,1674858782
349,punta alta,-38.8759,-62.0736,26.41,54,0,7.65,AR,1674858783
350,tolaga bay,-38.3667,178.3,19.13,96,100,7.47,NZ,1674858784
351,talara,-4.5772,-81.2719,28.42,57,0,5.14,PE,1674858784
352,kapit,2.0167,112.9333,22.88,99,100,0.67,MY,1674858785
353,flin flon,54.7682,-101.865,-23.09,59,20,4.63,CA,1674858786
354,tarata,-17.6167,-66.0167,22.68,51,74,3.16,BO,1674858786
355,pochutla,15.7432,-96.4661,30.46,47,24,3.26,MX,1674858787
356,fez,34.0372,-4.9998,5.14,81,40,3.6,MA,1674858788
357,thornbury,52.2333,-2.55,4.26,80,99,1.31,GB,1674858543
358,gayeri,12.6497,0.4931,26.82,14,100,3.75,BF,1674858789
359,kariba,-16.5167,28.8,20.8,92,100,1.35,ZW,1674858790
360,bawku,11.0616,-0.2417,27.83,13,97,3.37,GH,1674858790
361,rawson,-43.3002,-65.1023,21.64,38,12,5.98,AR,1674858791
362,bakchar,57.0186,82.0711,-7.77,94,100,3.68,RU,1674858792
363,kuopio,62.8924,27.677,-6.03,93,100,4.12,FI,1674858792
364,arys,42.4252,68.795,-9.89,93,93,1.52,KZ,1674858793
